avaliacao,empresa,tamanho,ano_fundacao,tipo_propriedade,industria,setor,receita,senioridade,cargo,salario_medio,cidade_vaga,estado_vaga,pais_vaga,cidade_sede,pais_sede,escala_tamanho,remoto,latitude,longitude,nome_estado_vaga
3.7,GovTech,1001 to 5000 employees,2016.0,Government,Federal Agencies,Government,Unknown / Non-Applicable,,Data scientist,103.0,San Francisco,CA,United States of America,Singapore,Singapore,Grande,False,37.775,-122.4183,California
4.3,Quick Base,201 to 500 employees,1999.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,,Data scientist,103.0,Cambridge,MA,United States of America,Cambridge,United States of America,Médio,False,42.377045,-71.125611,Massachusetts
4.8,Giving Assistant,1 to 50 employees,2014.0,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),,Data analyst,103.0,San Francisco,CA,United States of America,San Francisco,United States of America,Pequeno,False,37.775,-122.4183,California
3.7,Takeda,10000+ employees,1781.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,Data scientist,103.0,Cambridge,MA,United States of America,OSAKA,Japan,Corporação,False,42.377045,-71.125611,Massachusetts
4.0,Netskope,501 to 1000 employees,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,,Data scientist,103.0,San Francisco,CA,United States of America,Santa Clara,United States of America,Médio,False,37.775,-122.4183,California
4.8,IT Concepts,51 to 200 employees,2003.0,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),Junior,Data engineer,103.0,Remote,,,Vienna,United States of America,Pequeno,True,,,
3.5,iSeatz,51 to 200 employees,1999.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,,Data analyst,103.0,New Orleans,LA,United States of America,New Orleans,United States of America,Pequeno,False,29.963071,-90.160953,Louisiana
3.7,Summa Health System,5001 to 10000 employees,1926.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),,outro,103.0,Akron,OH,United States of America,Akron,United States of America,Grande,False,41.044852,-81.520048,Ohio
3.5,Benson Hill,201 to 500 employees,2012.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),Senior,Data scientist,103.0,Saint Louis,MO,United States of America,Saint Louis,United States of America,Médio,False,38.642574,-90.324189,Missouri
4.1,Twitter,1001 to 5000 employees,2006.0,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),,Data scientist,103.0,San Francisco,CA,United States of America,San Francisco,United States of America,Grande,False,37.775,-122.4183,California
3.2,Postmates - Corporate HQ,1001 to 5000 employees,2011.0,Company - Private,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable,,Data scientist,103.0,San Francisco,CA,United States of America,San Francisco,United States of America,Grande,False,37.775,-122.4183,California
4.5,Envision LLC,201 to 500 employees,1994.0,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),,Data scientist,103.0,Saint Louis,MO,United States of America,Saint Louis,United States of America,Médio,False,38.642574,-90.324189,Missouri
3.8,Swiss Re,10000+ employees,1863.0,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),,Data analyst,103.0,Fort Wayne,IN,United States of America,Zurich,Switzerland,Corporação,False,41.0716,-85.1367,Indiana
4.5,Systems & Technology Research,201 to 500 employees,2010.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),,Machine learning engineer,103.0,Woburn,MA,United States of America,Woburn,United States of America,Médio,False,42.482894,-71.157404,Massachusetts
3.5,iRobot,1001 to 5000 employees,1990.0,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),,Data scientist,105.0,Bedford,MA,United States of America,Bedford,United States of America,Grande,False,42.484287,-71.276796,Massachusetts
4.2,HG Insights,51 to 200 employees,2010.0,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,,Data scientist,105.0,Santa Barbara,CA,United States of America,Santa Barbara,United States of America,Pequeno,False,34.419668,-119.70782,California
3.8,Dermalogica,201 to 500 employees,1986.0,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),,Data analyst,105.0,Carson,CA,United States of America,Carson,United States of America,Médio,False,33.822968,-118.268352,California
3.7,Bayview Asset Management,1001 to 5000 employees,1995.0,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),,Data engineer,105.0,Coral Gables,FL,United States of America,Coral Gables,United States of America,Grande,False,,,
3.7,Via Transportation,501 to 1000 employees,2012.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,,Data scientist,105.0,New York,NY,United States of America,New York,United States of America,Médio,False,40.74838,-73.996705,New York
4.0,Grid Dynamics,1001 to 5000 employees,2006.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),,Data scientist,105.0,Santa Clara,CA,United States of America,San Ramon,United States of America,Grande,False,37.34732,-121.954079,California
3.3,Tempus Labs,501 to 1000 employees,2015.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,,outro,105.0,Chicago,IL,United States of America,Chicago,United States of America,Médio,False,41.885847,-87.618123,Illinois
2.5,CareDx,1 to 50 employees,,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,,Data scientist,105.0,Brisbane,CA,United States of America,Brisbane,United States of America,Pequeno,False,37.681104,-122.400118,California
4.2,IZEA,51 to 200 employees,2006.0,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),,Data engineer,105.0,Winter Park,FL,United States of America,Winter Park,United States of America,Pequeno,False,28.597824,-81.353436,Florida
